Block,Row,Col,X,Y,Label,X_start,X_stop,Y_start,Y_stop
B6,7,4,75.71,164.0,LG3216,72.29124999999999,79.12875,160.0,168.0
B7,0,0,83.79,94.0,LD20-4471,80.37125,87.20875000000001,90.0,98.0
B7,0,1,90.63,94.0,AG29XF5,87.21124999999999,94.04875,90.0,98.0
B7,0,2,97.47,94.0,LD20-4542,94.05125,100.88875,90.0,98.0
B7,0,3,104.31,94.0,AG29XF4,100.89125,107.72875,90.0,98.0
B7,0,4,111.14,94.0,LD20-5413,107.72125,114.55875,90.0,98.0
B7,1,0,83.79,104.0,AG29XF4,80.37125,87.20875000000001,100.0,108.0
B7,1,1,90.63,104.0,LD21-7234,87.21124999999999,94.04875,100.0,108.0
B7,1,2,97.47,104.0,AG29XF5,94.05125,100.88875,100.0,108.0
B7,1,3,104.31,104.0,LD20-5738,100.89125,107.72875,100.0,108.0
B7,1,4,111.14,104.0,AG29XF5,107.72125,114.55875,100.0,108.0
B7,2,0,83.79,114.0,LD22-4283,80.37125,87.20875000000001,110.0,118.0
B7,2,1,90.63,114.0,AG29XF4,87.21124999999999,94.04875,110.0,118.0
B7,2,2,97.47,114.0,LD11-2170,94.05125,100.88875,110.0,118.0
B7,2,3,104.31,114.0,AG29XF4,100.89125,107.72875,110.0,118.0
B7,2,4,111.14,114.0,LD21-5253,107.72125,114.55875,110.0,118.0
B7,3,0,83.79,124.0,AG29XF5,80.37125,87.20875000000001,120.0,128.0
B7,3,1,90.63,124.0,LD20-4988,87.21124999999999,94.04875,120.0,128.0
B7,3,2,97.47,124.0,AG29XF4,94.05125,100.88875,120.0,128.0
B7,3,3,104.31,124.0,LD22-4283,100.89125,107.72875,120.0,128.0
B7,3,4,111.14,124.0,AG29XF5,107.72125,114.55875,120.0,128.0
B7,4,0,83.79,134.0,LD20-4542,80.37125,87.20875000000001,130.0,138.0
B7,4,1,90.63,134.0,AG29XF4,87.21124999999999,94.04875,130.0,138.0
B7,4,2,97.47,134.0,LD11-2170,94.05125,100.88875,130.0,138.0
B7,4,3,104.31,134.0,AG29XF5,100.89125,107.72875,130.0,138.0
B7,4,4,111.14,134.0,LD20-5413,107.72125,114.55875,130.0,138.0
B7,5,0,83.79,144.0,AG29XF5,80.37125,87.20875000000001,140.0,148.0
B7,5,1,90.63,144.0,LD20-4988,87.21124999999999,94.04875,140.0,148.0
B7,5,2,97.47,144.0,AG29XF4,94.05125,100.88875,140.0,148.0
B7,5,3,104.31,144.0,LD21-5253,100.89125,107.72875,140.0,148.0
B7,5,4,111.14,144.0,AG29XF5,107.72125,114.55875,140.0,148.0
B7,6,0,83.79,154.0,LD20-5738,80.37125,87.20875000000001,150.0,158.0
B7,6,1,90.63,154.0,AG29XF4,87.21124999999999,94.04875,150.0,158.0
